ref,Permission Type,Development Description,Scheme Name,Site Name,Primary Street Name,Post Code,EAST DULWICH,Permission Date,Date construction completed,Proposed Total Residential Units,Proposed Total Affordable Units,CashinLieuAffordableHousing
13-AP-1738,Full,"Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",,83-89,Queens Road,SE15 2EZ,LIVESEY,14/02/2014,08/08/2016,47,12,
09-AP-1940,Full,"Demolition of existing building and erection of a 22 storey mixed use building (max.building height 69.82m AOD) incorporating a 65sq.m cafe/kiosk (Use Class A3) over ground and mezzanine floors, 366sq.m of commercial floorspace (Use Class B1) from ground to second floor level, with 38 residential units above (10x 1 bed, 24x 2 bed and 4x 3 bed), 50 cycle spaces over ground/ mezzanine floors with 6 visitor cycle spaces external to the building, in addition to a basement area containing plant and an energy centre, and two wind turbines sited at rooftop level",,89 - 93,Newington Causeway,SE1 6BN,CHAUCER,16/11/2011,03/03/2015,38,11,0
11-AP-3251,Full,"Redevelopment of the site involving the erection of a 4 storey building to provide 41 residential units (19x1 bed, 13x2 bed and 9x3 bed) including 4 wheelchair accessible units, 2 off street disabled parking spaces, vehicular access from Crimscott Street, 57 cycle parking spaces and associated landscaping.",,34-42,Grange Road,SE1 3BE,GRANGE,22/12/2011,15/01/2014,41,11,
13-AP-0065,Full,"Demolition of existing building and the erection of a part 6, part 19 storey building (maximum height from ground 61.3m) with basement for a mixed use scheme comprising of 158 residential dwellings, primary school for Southwark Free School, sixth form and community centre for City of London Academy, with associated amenity and play space, basement car and cycle parking and landscaping.",,399,Rotherhithe New Road,SE16 3HG,LIVESEY,18/06/2014,20/07/2018,158,11,
06-AP-1293,Full,"The erection of a building on ground, first, second, third and fourth floors (five storeys) with part basement, comprising commercial units on part of the ground floor on Grange Road frontage (Classes A1, A2 or A3: retail, financial and professional services, restaurant) and 33 residential units; associated residential parking for occupiers of the development, cycle storage, amenity space and refuse storage.",,170-176,Grange Road,SE1 3BN,GRANGE,08/02/2010,03/08/2012,33,10,0
09-AP-1031,Full,"To change Clauses 1.1 and 4.1 of Legal Agreement ref. 126467 pursuant to planning permission ref. 08AP0309, which permitted (demolition of the existing buildings plus basement fronting Trinity Street providing 22 self contained flats, (2 x one bed, 17 x two bed, 3 x three bed) and 10 three storey plus basement four bedroom dwellinghouses with integral garages) from the provision of 36% of the housing to be affordable, to the provision of 26% of the housing to be affordable (by habitable room). The scheme would reduce the number of intermediate units by 4, as the affordable provision would be reduced to 10 social rented units ( 7 x 2 bed and 3 x 3 bed).",,28 - 30,Trinity Street,SE1 4JE,CHAUCER,28/07/2009,30/04/2012,32,10,
09-AP-1049,Full,"Currently approved 10 unit residential scheme with commercial unit - shop/retail and cafe (A1, A3) on ground level and basement ( LBS reg: 05-AP-0099) to be revised to: Introduce B1 (office) use and A2 (financial and professional services) to the ground floor and exclude basement level",,"Manor Tavern P.H.,   78",Galleywall Road,SE16 3PB,SOUTH BERMONDSEY,25/03/2010,31/10/2011,10,10,0
09-AP-1769,Full,"Demolition of all buildings on site, coach depot and garages. Retention of boundary wall to rear garden properties along Hollydale Road and Brabourn Grove and redevelopment to provide a total of 22 units incorporating a four storey residential block fronting Evelina Road comprising 10 self contained units (8x2 bedroom and 2x3 bedroom) and a row of 12, 3 storeys terraced houses (9x3 bedroom and 3x4 bedroom) including 18 car spaces and associated cycle parking.",,Rear Of175-205,Hollydale Road,SE15 2BS,NUNHEAD,25/11/2009,01/04/2013,22,10,0
05-AP-2564,Full,"Demolish existing public house, erect 3 storey building for 9 x two-bedroom flats with  associated landscaping and 6 parking spaces (RE-SUBMISSION).",,"Sir Ernest Shackleton P.H.,  122",Bowen Drive,SE21,COLLEGE,22/03/2006,20/06/2008,9,9,
05-AP-2669,Full,Alteration during course of construction of scheme approved 6/12/04 for construction of 28 flats and commercial to now: include the construction of 2 additional flats with offices (Class B1 Business Use) at ground and lower floors; including vehicular access to parking bays off Gibbons Rent.,,17-24,Magdalen Street,SE1 2EN,RIVERSIDE,08/11/2006,31/05/2008,30,9,
