ref,Permission Type,Development Description,Scheme Name,Site Name,Primary Street Name,Post Code,EAST DULWICH,Permission Date,Date construction completed,Proposed Total Residential Units,Proposed Total Affordable Units,CashinLieuAffordableHousing
09-AP-0519,Details/Reserve Matters,"Reserved Matters pursuant to Outline planning permission 04-AP-0102 dated 30/03/2005 being: External appearance, details of landscaping and other treatments including layout of any part of the site not covered by buildings, as well as the detailed design of the buildings including the internal layouts and access arrangements for Phases 3 and 4 which involve the erection of 7 buildings ranging in height from 3 to 10 storeys comprising 319 flats and a 1,395sqm supermarket (Use Class A1) and associated cafe (Use Class A3), 314sqm of other commercial space (Use Class A1, A2, A3, B1, and D2), 109 basement car parking spaces, and associated open space.",Bermondsey Spa,"Site F,S And U (Phase 3 And 4) Bermondsey Spa",Jamaica Road,SE16 4TB,RIVERSIDE,09/06/2009,08/08/2014,319,232,
04-AP-0190,Full,"Revision: additional 14 flats for mixed use development in Building 'B' (remove 35 market units, add 49 key worker units).",,Tabard Square Bounded By,Long Lane,SE1 4AU,CHAUCER,04/11/2004,01/11/2006,573,212,
05-AP-1949,Outline,"Outline application for demolition of  light industrial units for 195 flats and assoc parking in two blocks separated by an avenue linking Peckham Grove and Blake's Road running through the site. Block A: a part four to six storey building (ground + 5 storeys at highest point) between Peckham Grove and Blakes Road; Block B: part four to eight storey building (ground + seven storeys at highest point) b/b Blake's Road, Diamond Street and Southampton Way.",,Samuel Jones Industrial Estate,Peckham Grove,SE15 6ES,PECKHAM,16/01/2007,31/03/2011,194,194,
07-AP-0760,Full,"Erection of 1 building up to 44 storeys (145.5 metres AOD) and terrace of up to 7 storeys in height for 470 flats (Class C3), theatre (Class SG) and cafe (Class A3) uses and pavilion building for retail/marketing suite (A1/ Sui Generis) with public open space, underground parking for 30 cars and servicing .",,"Site Of London Park Hotel,  80",Newington Butts,SE11 4QU,CATHEDRALS,01/04/2008,01/08/2018,457,179,
09-AP-1870,Full,"Erection of a series of buildings comprising a 26 storey tower, with ground floor mezzanine (maximum height 92.95m AOD), and 9 individual buildings ranging from 4 to 8 storeys in height to provide 668 residential units, 958sqm of retail (Class A1, A2 and A3), and 268sqm of community use (Class D1), creation of a new open space and construction of new roads, pedestrian and cycle routes and new access to the highway, together with associated works including the provision of public cycle facility, basement car parking for 166 cars and cycle parking, servicing, landscaping and plant areas.",,"Site A, Canada Water",Surrey Quays Road,SE16,ROTHERHITHE,17/02/2010,03/04/2014,668,165,0
06-AP-0323,Full,"1) amendments during construction to Phase 1 (Site E east) scheme, approved under 04-AP-0102 (outline) & 04-AP-2190 (reserved matters) to include removing basement car parking, provide undercroft parking; omit car parking provision for phase 2 scheme; provide communal raised courtyards above undercroft parking at first floor; provide  2 on-street car parking spaces in phase 1 instead of phase 2;  remove 3 units at ground floor, increased number of units from 165 to 167, proposed changes to approved mix to provide 62 x 1 bed units, 65 x 2 bed units, 32 x 3 bed units, 4 x 4 bed units and 4 x 5 bed units.",Bermondsey Spa,"Part Phase I, Sites E & H, Bermondsey Spa",Old Jamaica Road,SE16,RIVERSIDE,21/09/2006,30/11/2009,167,136,
07-CO-0046,Outline,"Outline planning application for the demolition of 1-41 Bradenham, 1-12 Red Lion Close, the Aylesbury Day Centre, the elevated pedestrian link across Bradenham Close and the single storey garages on Red Lion Close, and the erection of a series of buildings ranging in height from 1 (c.4.5m) to 10 storeys (29.9m) in height comprising around 260 dwellings(see Comments below), 404m² of retail floorspace, a new day centre and provision of public open space and public realm improvement work.",Aylesbury Estate,"Aylesbury Estate. Phase 1a, 1-41",Bradenham,SE17 2ES,FARADAY,11/06/2007,03/03/2014,260,134,
03-AP-1228,Full,"Construction of 4 blocks A1/A2/B1 ground floor, 56x1-bed/58x2-bed flats/8x3-bed maisonettes.",,249-267,Rye Lane,SE15 4UA,THE LANE,30/03/2005,29/02/2008,122,122,
06-AP-0374,Full,"Redevelopment of Site E (West) for 114 new dwellings and new community health centre at ground and first floor level, in an eight to ten storey building plus car parking, landscaping and infrastructure works.",Bermondsey Spa,"Site E [West], Phase Ii Bermondsey Spa",Old Jamaica Road,SE16,RIVERSIDE,21/09/2006,31/03/2010,114,114,
04-AP-0772,Full,"Refurbish 142-148 Queen's Road, demolish office/ warehouse buildings for 162 flats in 3/4/5 storey blocks plus new 3/4/5 storey office buildings.",,134-148,Queen's Road,SE15,NUNHEAD,29/11/2004,30/09/2007,158,105,
07-AP-2801,Full,"Erection of a part 4, part 5 and part 6 storey development with part basement providing a total of 103 new dwellings and 3 ground floor commercial/community units (Use Classes A1, A2, A3, B1, D1). Associated amenity space, car and cycle parking, amendments to public highways and new public space and landscape improvement works.",,"Newington South, Land At",Bolton Crescent,SE5 0XF,NEWINGTON,18/09/2009,18/06/2012,103,103,0
05-AP-2502,Full,"Erection of 43 storey (147 metres) building with retail, restaurant with takeaway use (Use Class A1/A3/A5) on the ground and 1st floors and 399 residential units above, and a four storey (17 metres) pavilion building with retail, restaurant or takeaway use (Use Class A1/A3/A5) on the ground floor and 9 residential units above, landscaping and public open space, with parking and servicing facilities to the rear and at basement level.",,"Castle House, 2-20",Walworth Road,SE1 6SP,NEWINGTON,05/07/2006,31/03/2011,408,98,"1,300,000"
03-AP-2113,Full,"Retention of alterations carried out during course of construction under perm dated 21/03/2003 [application 02AP0799] for construction of part five, part six and part seven storey building to provide 59 self-contained flats and 16 cluster units to provide changes to the internal layout to provide 96 studio flats in place of the 16 cluster flats.",,Ex Leisure Centre,Mckerrell Road,SE15 5HD,THE LANE,15/11/2007,15/11/2007,96,96,
09-AP-2388,Full,"Erection of a building ranging from four to nine storeys in height (maximum 31.55m AOD) arranged around a courtyard occupying the block contained by Royal Road, Otto Street and Cook's Road comprising 96 residential units (13 x one bedroom, 51 x two bedroom, 26 x three bedroom and 6 x four bedroom) with private gardens, balconies and terraces, communal amenity space, 5 disabled parking spaces, 160 cycle spaces, refuse storage, creation of vehicle access from Royal Road and associated works including electricity substation.",,Land At,Royal Road,SE17 3NR,NEWINGTON,03/08/2010,01/06/2013,96,96,0
07-AP-1304,Full,"Redevelopment within three blocks of part 4/ 5 storey buildings and two blocks of 3 storey houses comprising 18 one-bedroom flats, 45 two-bedroom flats, 18 three-bedroom flats, 6 four-bedroom flats, 3 four-bedroom houses, 1 five-bedroom flat and 2 five-bedroom houses, associated open space (including children's play area) and parking.",,"Falcon Works,  262 - 302",Lynton Road,SE1 5DE,SOUTH BERMONDSEY,06/09/2007,31/10/2009,93,93,
14-AP-1862,Full,"DEMOLITION OF EXISTING BUILDINGS AND DEVELOPMENT OF A MIXED USE SCHEME COMPRISED OF 5 BUILDINGS RANGING BETWEEN 5 AND 27 STOREYS HIGH (MAXIMUM HEIGHT OF 96.5M AOD TO TOP ROOF PLANT), COMPRISING 336 RESIDENTIAL UNITS (CLASS C3), 2,502SQM OF OFFICE SPACE (CLASS B1), 1,200 OF RETAIL (CLASS A1-A4), 528SQM OF OFFICE OF RETAIL (CLASS B1 OR A1-A4) AND 154SQM OF ANCILLARY RESIDENTIAL FLOORSPACE (RESIDENTIS GYM), 79 BASEMENT CAR PARKING SPACES TOGETHER WITH ACCESS, HARD AND SOFT LANDSCAPING AND OTHER ASSOICATED WORKS INCIDENTIAL TO THE DEVELOPMENT.",,128-150,Blackfriars Road,SE1,CATHEDRALS,11/03/2015,16/07/2018,336,91,
11-AP-2565,Full,"Demolition of three existing warehouse buildings and construction of 7 blocks between 3 and 6 storeys high (max 21m AOD); containing 366 residential units (142x 1 bed, 113x 2 bed, 98x 3 bed and 13x 4 bed) and commercial floorspace for Class A1 (shops) / A3 (restaurant/cafes) / D1 (non-residential institutions / D2 (assembly and leisure)uses; with basement car parking, motorcycle and cycle storage, ancillary storage spaces and a new route through the site into Russia Dock Woodlands. New vehicle and pedestrian accesses to be created from Quebec Way",,Quebec Way Industrial Estate,Quebec Way,SE16,SURREY DOCKS,30/03/2012,07/08/2018,366,89,
11-AP-4309,Full,"Demolition of existing buildings and redevelopment of the site comprising new buildings ranging from 3 to 7 storeys in height to provide 279 residential units (96x 1 bed, 124x 2 bed, 57x 3 bed, 2x 4 bed) together with the construction of a new road, pedestrian and cycle routes and new access to the public highway, car and cycle parking, energy centre, open space and landscaping.",Camberwell Fields,Site Bounded By,Edmund Street,SE5,CAMBERWELL GREEN,22/03/2012,09/09/2015,279,87,
12-AP-1455,Full,"Demolition of existing buildings, and construction of new buildings ranging in height between 4 and 7 storeys, to provide a total of 140 residential units (19x 1 bed, 85x 2 beds, 32x 3 beds and 4x 4 beds) a 244sqm church hall (use class D1), and a 117sqm retail unit (use class A1); with associated landscaping, amenity space and residential car parking and cycle storage spaces",,Land Bounded By,Wadding Street,SE17,EAST WALWORTH,28/09/2012,03/03/2017,140,84,0
03-AP-1044,Full,"Retention of front facade of building, demolish remainder, construct part 5/6/7 storey building behind for part ground floor A3 restaurant, 82 flats above + remainder of ground floor, basement car parking/ cycle storage & communal amenity space.",,"Pelican House,  88-96",Peckham Road,SE15 5LQ,THE LANE,27/01/2006,31/03/2008,80,80,
06-AP-0141,Full,"Demolition of 3 existing blocks of flats, garages and district heating plant and construction of 80 x 1, 2 and 3 bedroom flats and 3 and 4 bedroom houses together with new estate roads and associated external works",Coopers Road Estate,Coopers Road Estate,Coopers Road,SE1 5ED,SOUTH BERMONDSEY,21/04/2006,30/01/2009,80,80,
15-AP-1330,Full,"Redevelopment of the site to construct a part two, part five, part six and part eight storey building comprising 80 residential units (23 x one bed, 41 x two bed and 16 x three bed) for both private and affordable tenures with associated car parking and landscaping",,8-24,Sylvan Grove,SE15 1PE,LIVESEY,21/10/2015,17/08/2018,80,80,
12-AP-2332,Full,"Demolition of existing buildings and redevelopment of the site to provide 147 residential units including flats, maisonettes and houses (30 x 1 bed, 71 x 2 bed, 13 x 3 bed, 28 x 4 bed, 5 x 5 bed) of which 58% would be affordable housing. The proposed residential blocks range between 3 and 10 storeys in height (10 Storeys at Thurlow Street) with a basement car park together with new vehicle access, plant, landscaping, cycle storage and refuse/recycling facilities.",Aylesbury Estate,"Site 7 At Aylesbury Estate, 1-27 & 28-59 Wolverton",Thurlow Street,SE17 2AA,FARADAY,19/02/2013,12/12/2016,147,76,
07-AP-0202,Full,"Demolition of  building, construction of part 4, 5, 6, 7, 8 storey building for 75 dwellings, communal facility, communal gardens, landscaping and basement car parking (Amends permission 04-AP-0563)",,92,Webber Street,SE1 0QN,CATHEDRALS,04/09/2007,10/08/2011,75,75,
10-AP-2081,Full,"Demolition of existing building and redevelopment to provide 72 (100% affordable) residential units ranging in height from 3 to 7 storeys, with 4 disabled parking spaces and 146 cycle spaces, in addition to a substation, creation of a new vehicular access, associated servicing, plant and landscaping.",,153-163,Harper Road,SE1 6AE,CHAUCER,18/10/2010,31/03/2013,72,72,0
05-AP-2110,Full,Demolish existing industrial building and erect 3 residential buildings (two six storey and one five storey building) comprising 71 residential units. Block A: six storey block fronting Peckham Rye; Block B: six storey building on Solomon's Passage; Block C: five storey building together with basement parking for 62 no. cars. (Amendment to approved application 04-AP-0694 and 03-AP-1028- RE-SUBMISSION of refused appn 05-AP-0797).,,"Roberts Metal Packaging,  159-161",Peckham Rye,SE15 3HX,PECKHAM RYE,16/11/2006,31/03/2011,71,71,
03-AP-1952,Full,"Demolish existing for 7-9 storey building of ground floor A1/A2/B1 uses, 65 flats + 5 duplexes above, with parking.",,82-96,Old Kent Road,SE1 1NU,EAST WALWORTH,22/10/2004,30/06/2006,70,70,
14-AP-2000,Outline,"HYBRID APPLICATION COMPRISING: _x005F_x000D_
_x005F_x000D_
1) SITE BOUNDED BY SUMNER ROAD AND GARNIES CLOSE (BLOCK A) - APPLICATION FOR REDEVELOPMENT OF FORMER SUMNER ROAD WORKSHOP SITE AND ERECTION OF PART 2, PART 5 AND PART 6 STOREY BUILDING (MAX 22.2M AOD) TO PROVIDE 70 RESIDENTIAL UNITS (USE CLASS C3) AND 302SQM OF COMMUNITY CENTRE (USE CLASS D1) AT GROUND AND FIRST FLOOR LEVEL, A TWO WAY ROAD, ASSOCIATED LANDSCAPING, VEHICULAR AND PEDESTRIAN ACCESS, CAR PARKING AND RELATED INFRASTRUCTURE AND ENGINEERING WORKS (INCLUDING THE RENTENTION OF ELECTRICITY SUBSTATION). LANDSCAPED PLAY SPACE ON THE CORNER OF CATOR STREET AND DANIEL GARDENS._x005F_x000D_
_x005F_x000D_
2) SITE BOUNDED BY SUMNER ROAD AND DANIEL GARDENS (BLOCK B) - APPLICATION FOR OUTLINE PLANNING PERMISSION (ALL MATTERS RESERVED EXCEPT FOR ACCESS AND SCALE) FOR: ERECTION OF BUILDING UP TO 6 STOREYS (MAX 23.5M AOD) TO PROVIDE UP TO 42 RESIDENTIAL UNITS (USE CLASS C3), VEHICULAR AND PEDESTRIAN ACCESS AND CAR PARKING",,"Sumner Road, Daniel Gardens",And Garnies Close,SE15,PECKHAM,15/10/2014,09/04/2019,112,70,
05-AP-2617,Full,"Erection of building extending to between 4 and 8 storeys in height to provide 138 new dwellings (38 social rented units, 31 shared ownership units and 69 private units) and 300m² of commercial space (use classes A1, A2, and D1), together with the provision of associated car parking, landscaping, infrastructure works and improvements to the existing playground area.",Bermondsey Spa,Site D Bermondsey Spa + 89,Spa Road,SE16,GRANGE,13/09/2007,30/07/2009,138,69,
04-AP-0535,Full,"Redevelop warehouses / light industry for part 5/6/7 storey + lower ground floor buildings of 30x 1 bed, 33x 2-bed, 1x 3 bedroom flats, 4x 3 bed 3 storey terraced houses fronting Townsend St.;",,1-3,Congreve Street,SE17,EAST WALWORTH,21/12/2004,17/10/2006,68,68,
09-AP-0244,Details/Reserve Matters,"Reserved Matter approval for external appearance and landscaping relating to condition 1 of Outline Planning Permission 07-CO-0046 (relating to Sites B, C and E only) involving demolition of existing buildings and erection of 149 dwellings, retail floorspace and associated public realm works.",Aylesbury Estate,1-41 Little Bradenham,Boyson Road,SE17 2ES,FARADAY,12/05/2009,31/03/2013,149,68,0
10-AP-3010,Full,"Demolition of existing buildings and erection of 4 buildings ranging from 4 to 7 storeys in height (4 storeys fronting Grange Walk, rising to 5, 6 and 7 storeys at the centre of the site and 4 to 5 storeys fronting Spa Road) to provide 205 residential units (Use Class C3). The proposal includes 796sqm of flexible commercial space either for retail (Use Class A1), office (Use Class B1) or community use (Use Class D1). Within the site, the proposal includes the construction of new roads, pedestrian and cycle routes and new access to the public highway; together with associated works including the provision of 39 car parking spaces, 252 cycle parking spaces, 12 motorcycle parking spaces, servicing, landscaping and plant areas.",Bermondsey Spa,Bermondsey Spa Site C5,Grange Walk,SE1 3EL,GRANGE,25/01/2011,04/03/2015,205,68,0
07-AP-0650,Full,"Erection of building up to 9 storeys (29.5m) in height comprising 164 residential flats and 1,152m² of either B1 (offices) or D1 (non-residential institutions) floorspace, basement car parking, and associated works including hard and soft landscaping.",,Part Ex Printing Works,Amelia Street,SE17 3PY,NEWINGTON,21/12/2007,31/03/2011,164,67,
13-AP-3583,Details/Reserve Matters,"APPLICATION FOR THE APPROVAL OF RESERVED MATTERS (ACCESS, SCALE, APPEARANCE, LAYOUT AND LANDSCAPING) FOR PLOT H13 WITHIN MP1 (MASTERPLAN FIRST PHASE) FOR THE HEYGATE MASTERPLAN, SUBMITTED PURSUANT TO THE OUTLINE PLANNING PERMISSION REF: 12/AP/1092. THE PROPOSALS COMPRISE THE CONSTRUCTION OF A DEVELOPMENT PLOT RANGING BETWEEN 3 AND 7 STOREYS IN HEIGHT (MAXIMUM BUILDING HEIGHT 26.68M AOD), COMPRISING 67 RESIDENTIAL UNITS, CYCLE STORAGE, PLANT AREAS, NEW LANDSCAPING, AND OTHER ASSOCIATED WORKS.",Elephant Park,"Plot H13, Bounded By",Rodney Road,SE17,EAST WALWORTH,10/02/2014,05/05/2017,67,67,
04-AP-1601,Full,Demolish workshops for part 4/5 storey buildings of 110 flats / parking in basement.,,69a,Peckham Grove,SE15 6DN,PECKHAM,22/09/2005,30/01/2009,110,65,
09-AP-0343,Full,"Demolition of existing building and erection of a 41 storey (128.7m AOD) building and separate 8 storey (35.60m AOD) building incorporating 270 private flats (16 x studio, 126 x 1-bed, 92 x 2-bed and 36 x 3-bed), 65 intermediate flats (17 x 1-bed, 44 x 2-bed and 4 x 3-bed), 4,785sq.m. of office (Use Class B1) and 287 sq.m. of retail (Use Class A1-A5), together with 34 disabled car parking spaces, 44 motorcycle spaces and 411 cycle spaces within 2 basement levels, plus associated servicing facilities (4,626sq.m.) and public realm improvements including creation of a resident's garden (458sq.m.) and University Square (2,768sq.m.).",Eileen House,80-94,Newington Causeway,SE1 6EF,CATHEDRALS,07/01/2014,01/08/2018,335,65,
9901940,Full,"Demolition of existing public house and warehouse, with construction of 4/5/6 storey residential blocks comprising 64 flats.",,67-77,Marlborough Grove,SE1,SOUTH BERMONDSEY,23/10/2000,27/11/2006,65,65,
04-AP-0200,Full,"Demolition of existing offices for 6 storey building of ground floor health care services/ anc offices, 39x 1-bed, 25x 2 bedroom flats, 3 parking spaces, vehichle access and plant room.",,Adjacent To Former St. Giles's Hospital,St Giles's Road,SE5,BRUNSWICK PARK,17/09/2004,30/09/2007,64,64,
11-AP-0138,Full,"Demolition of existing buildings and erection of a building ranging from four to eight storeys in height (maximum 27.87m AOD) comprising 417 sqm of commercial floorspace (Use Classes A1 retail, A2 financial and professional services and/or B1 business) and 64 residential units (27 x one bedroom, 22 x two bedroom, 11 x three bedroom and 4 x four bedroom) with balconies, terraces and gardens, communal amenity space, 92 bicycle spaces, 21 car parking spaces, refuse storage, access and associated works",,430-432,Old Kent Road,SE1 5AG,EAST WALWORTH,21/04/2011,04/03/2014,64,64,0
05-AP-0495,Full,"Demolish existing buildings on site b/b Southwark Bridge Rd/ Webber St/Belvedere Buildings (excl 98 Webber St & adj  substation) & erect mixed use development of commercial (office/light industrial uses), and alternative retail, financial/professional services and/or restaurant, snack bar or café uses, & 164 housing units within new buildings of lower ground & part 3 storeys (fronting Belvedere Buildings) & part 4 to part 8-storeys (fronting Southwark Bridge Rd/Webber St), and basement car parking (31 spaces) with vehicular access from Webber Street, & cycle store, refuse store & landscaping/amenity space.",,122-144,Southwark Bridge Road,SE1 0DG,CATHEDRALS,16/05/2006,01/09/2008,164,62,
04-AP-0116,Full,"Development of part 5, part 12 storey building on site of garage for 29x 1 bed, 23x 2 bed, 4x 3 bed room flats. 214 sq m of A1 or B1 use at ground floor.",,Wyndham Garage,Wyndham Road,SE5 0UB,CAMBERWELL GREEN,02/09/2005,31/08/2007,56,56,
09-AP-1917,Full,"Demolition of existing buildings and erection of a building ranging from 5 to 10 storeys (maximum height 29.50m) comprising of basement and ground floor levels providing 3,680sqm of Class A1 (retail) and/or B1 (office) space and a 403sqm unit at basement level for either Class B1 (office) or Class D2 (health club)use; 154 residential units (55x 1 bed, 60x 2 bed, 39x 3 bed) above, up to 9th floor level; 3,363sqm of amenity space formed of a courtyard at 1st floor level, roof terraces and balconies",,"Century House,  82-84",Tanner Street,SE1 3PH,GRANGE,29/09/2010,08/08/2015,154,56,
14-AP-2102,Full,"DEMOLITION OF EXISTING BUILDINGS AND REDEVELOPMENT TO PROVIDE 167 RESIDENTIAL UNITS WITH BASEMENT CAR AND CYCLE PARKING, AMENITY SPACE, PLANT AND ASSOCIATED WORKS. THE PROPOSED HEIGHT WILL BE PART 4, PART 6 AND PART 7 STOREYS.",,Site Bounded By,Grange Walk,SE1,GRANGE,06/10/2014,03/03/2017,167,56,
05-AP-0480,Full,Demolish existing one storey structure plus schoolkeeper's house for 3 to 7 storey building of 54 flats.,,Southwark College Surrey Docks Campus,Tranton Road,SE16 4SB,RIVERSIDE,07/10/2005,31/07/2007,54,54,
12-AP-2797,Full,"Construction of 8 buildings ranging between 4 and 10 storeys in height (maximum building height 38.5m AOD), comprising 235 residential units, 204 sqm (GEA) of retail use (Class A1-A3), car parking beneath podium level, cycle storage, servicing, plant areas, landscaping and public realm improvements.",,Land Bounded By,Victory Place,SE17,EAST WALWORTH,15/03/2013,07/03/2015,235,54,
06-AP-0009,Full,"Construction of 224 residential units, 18 live/work units and business and retail units and a health and fitness club, in 6 blocks.",,"Site D,Canada Water (Water Gdn's) Corner",Surrey Quays Road,SE16 2BY,ROTHERHITHE,15/06/2006,31/03/2008,242,52,
07-CO-0135,Details/Reserve Matters,"Reserved Matters application for external appearance and landscaping of Outline Planning Permission 07-CO-0046 (relating to Site A only) involving demolition of existing garages and outbuildings, erection of 52 dwellings and resource centre, and associated public realm works.",Aylesbury Estate,"Aylesbury Phase A1, Open Land East Of",Red Lion Row,SE17 2ES,FARADAY,20/12/2007,11/03/2011,52,52,
08-AP-2406,Full,"Erection of a part 1, 4 and 6 storey building and a part 7 part 8 storey building comprising 52 residential units (Use Class C3), 310.9sq.m commercial floor space (Use Classes A1, A2 or B1), 2 disabled parking spaces, 100 cycle parking spaces, plus refuse and recycling storage and associated amenity space.",,Land Adjoining Albert Barnes House,New Kent Road,SE1 6PH,CHAUCER,09/01/2009,07/06/2011,52,52,
08-AP-1563,Full,"Demolition of health centre and construction of 212 new dwellings including affordable housing, in 2 part one, part four storey residential buildings with undercroft car park (Blocks A/B and G); 1 part one, part two, part four storey residential building with undercroft car park (Block C); 2 part one, part four storey residential buildings (Block D and F); 2 part one, part two and part three storey terraced housing buildings (Block H); 1 part one, part four storey health centre (1,513sqm), community centre (101sqm) and residential building (Block E), with associated car parking,  children's play area, landscaping and infrastructure.",,Health Centre Site,Downtown Road,SE16 6NP,SURREY DOCKS,26/05/2010,03/03/2016,212,51,0
05-AP-2066,Full,"Variation of  permission 03-AP-1643 involving erection of part 3 / 4 / 6 storey building of 10 houses, 38 flats and 360 sq.m commercial space, for one additional 2 bed flat.",,41-75,Consort Road,SE15 3ST,THE LANE,13/04/2006,30/06/2007,49,49,
06-AP-1058,Full,"Demolition of buildings and erection of a building of six to eight storeys to create 46 residential units and a ground floor youth centre with associated car parking, landscaping and other works including alterations to the parking area adjacent to Kent House.",,"Success House, 419-423",Old Kent Road,SE1 5EH,SOUTH BERMONDSEY,15/11/2007,14/06/2010,46,46,
05-AP-2118,Full,"Redevelopment of site to provide 45 residential units (comprising of 10 x 1 bed, 28 x 2 bed, 1 x 2 bed (wheelchair), 6 x 3 bed flats) in a block of part 3/part 6 storeys together with parking. Resubmission.  Amendments to approved development 03-AP-1278 including a reduction in on-site car parking from 14 spaces to 13 spaces,  alterations to the dwelling mix.",,76-78,Verney Road,SE16 3DH,LIVESEY,21/12/2006,31/12/2006,45,45,
031559,Full,Demolition and erection of 2 blocks comprising a total of 44 flats.,,"60-62, 62a",Queens Road,SE15,NUNHEAD,26/02/2004,31/05/2006,44,44,
04-AP-0544,Full,"Redevelop industrial site for 2 x 5 storey buildings along Crampton St, part 7/8/9 storey building at rear of site adjacent to railway viaduct; for 17x live work units, 42 social flats, 136 private flats, 5x B1 class units (also useable for A1/A2/A3 classes); semi basement car park with 83 spaces; retain industrial sheds 19-24 at north west end of site.",,Newington Industrial Estate,Crampton Street,SE17 3AZ,NEWINGTON,29/08/2005,30/09/2007,195,44,
06-AP-0282,Full,"Redevelopment for part 4, 5 and 6 storey building of 44 dwellings [ 2 x four-bedroom houses, 11 x one-bedroom flats, 23 x two-bedroom flats and 8 x three-bedroom flats],  with assoc car parking, landscaping and infrastructure.",,"Phase Viiia (Ii), Peckham Partnership, North Peckham Estate",Daniel Gardens,SE15,PECKHAM,06/04/2006,30/01/2009,44,44,
08-AP-2388,Full,"Erection of a part 7, part 8 storey building to provide 169 residential units (Class C3), 938sqm of retail and/or food/drink uses (Class A1/A3) and 300sqm of ancillary residential floorspace (residents gym), 46 basement car parking spaces and basement plant, together with access, hard and soft landscaping, and other associated works incidental to the development.",,Site B2 Canada Water,Surrey Quays Road,SE16 2BY,ROTHERHITHE,22/12/2008,04/06/2010,169,43,
10-AP-1923,Full,"The construction of 4779 sq metres (GEA) of Class C3 floorspace comprising 43 affordable residential units, 368 sq (GEA) metres of commercial floorspace (to accommodate Class A1, A2, A3, A4, B1, D1 and D2) and 766 sqm (GEA) of workshop floorspace, all accommodated within a building of 8 storeys (34.105 AOD), 10 replacement car parking spaces, 1 motorcycle space, 80 cycle spaces and associated highway and access works, and other associated works and uses. The demolition of part of the compound wall and construction of new wall, and creation of new access at basement level at Bridgemaster's House.",,Land Adjacent To Bridgemasters House,Tower Bridge Road,SE1 2UP,RIVERSIDE,21/04/2011,09/09/2015,43,43,
14-AP-2948,Full,"DEMOLITION OF EXISTING BUILDINGS AND THE PARTIAL RETENSION AND CONVERSION OF THE EXISTING WAREHOUSE IN ASSOCIATION WITH THE REDEVELOPMENT OF THE SITE TO PROVIDE BUILDINGS RANGING FROM 2 TO 9 STOREYS IN HEIGHT COMPRISING 164 RESIDENTIAL UNITS (USE CLASS C3), 1,775SQM OF FLEXIBLE COMMERCIAL/COMUNITY FLOOR SPACE (CLASSES A1/B1/D1 TOGETHER WITH ASSOCIATED CAR PARKING, CYCLE PARKING, OPEN SPACE, LANDSCAPING AND INFRASTRUCTURE WORK",,240 And 252,Camberwell Road,SE5 0DP,CAMBERWELL GREEN,25/03/2015,04/04/2018,164,43,
06-AP-0137,Full,Demolition of building and change of use for residential block for 42 flats with  associated parking.,,25,Brisbane Street,SE5 7NL,CAMBERWELL GREEN,29/11/2006,30/09/2009,42,42,
13-AP-2901,Full,"Erection of a part-3 part-4 storey building to provide 42 ""extra care"" dwellings (x39 one-bedroom and x3 two-bedroom) with associated communal facilities, plant, staff areas and landscaped courtyard.",,Land To The South Of Southwark Education And Resource Centre,Cator Street,SE15 6AA,PECKHAM,16/04/2014,12/12/2016,42,42,
11-AP-0139,Full,"Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",Silwood Estate,Blueprint - Silwood Estate Phase 4b,Silwood Street,SE16,LIVESEY,11/05/2011,06/06/2014,127,41,0
12-AP-3201,Full,"Redevelopment of the site to provide 47 residential units (4 x 4 bed town houses, 2 x 3 bed maisonettes, 11 x 3 bed flats, 20 x 2 bed flats and 10 x 1 bed flats) in buildings ranging from 2 to 4 storeys in height (with a set back floor at roof level), along with amenity space, 70 cycle parking spaces, 5 disabled car parking spaces, landscaping, associated works, and provision of emergency vehicular access from Fortune Place.",Coopers Road Estate,"Coopers Road Estate Phase 4, Land At",Rolls Road,SE1,SOUTH BERMONDSEY,18/02/2013,03/03/2015,47,41,
13-AP-0561,Full,"Redevelopment of the site including the demolition of existing depot building and erection of four new residential buildings of between six and nine storeys accommodating 69 dwellings and 137m2 of Class A1, A2 and/or A3 (retail/services/cafe) space, 9 disabled car parking spaces, cycle parking, private and communal amenity space including a new public square and landscaping, plus refurbishment and single storey extensions to the existing Bethwin Road playgroup building (Class D1 use) with associated landscaping.",Bethwin Road Adventure Playground,Land At,Crown Street,SE5 OUR,CAMBERWELL GREEN,21/06/2013,10/08/2018,69,41,
03-AP-1417,Full,"Replace A1 units on ground floor, 40x 1,2,3 bedroom flats in 1x 4, 1x 6 storey blocks above.",,137-141a,Rye Lane,SE15,THE LANE,28/07/2004,01/09/2006,40,40,
07-AP-0804,Details/Reserve Matters,"Application for the approval of Reserved Matters (siting, design, landscaping, external appearance and means of access) for a development of 157 residential flats in accordance with Condition 1 of outline permission ref: 03-AP-2385",,122-124,Spa Road,SE16 3QT,GRANGE,10/06/2008,01/09/2009,157,40,0
